Unit_ID,District,Subdistrict,Village_No,Unit_No,Latitude,Longitude,Eligible_Voters,Voters_Showed_Up,Allocated_Ballots,Used_Ballots,Valid_Ballots,Invalid_Ballots,No_Vote_Ballots,Remaining_Ballots
KK10_CONST_โนนศิลา_โนนศิลา_M5_U5,โนนศิลา,โนนศิลา,5,5,15.975,102.6667,571.0,380.0,580,380,364,14,2,200
KK10_CONST_โนนศิลา_โนนศิลา_M1_U6,โนนศิลา,โนนศิลา,1,6,15.975,102.6667,918.0,594.0,900,594,566,26,2,306
KK10_CONST_โนนศิลา_โนนศิลา_M2_U7,โนนศิลา,โนนศิลา,2,7,15.975,102.6667,599.0,380.0,600,380,359,17,4,220
KK10_CONST_โนนศิลา_โนนศิลา_M2_U8,โนนศิลา,โนนศิลา,2,8,15.975,102.6667,547.0,384.0,560,384,361,12,11,176
KK10_CONST_โนนศิลา_โนนแดง_M1_U1,โนนศิลา,โนนแดง,1,1,15.9681,102.6253,357.0,255.0,360,255,243,7,5,105
KK10_CONST_โนนศิลา_โนนแดง_M2_U2,โนนศิลา,โนนแดง,2,2,15.9681,102.6253,385.0,258.0,400,258,241,14,3,142
KK10_CONST_โนนศิลา_โนนแดง_M3_U3,โนนศิลา,โนนแดง,3,3,15.9681,102.6253,384.0,297.0,400,297,285,7,5,103
KK10_CONST_โนนศิลา_โนนแดง_M4_U4,โนนศิลา,โนนแดง,4,4,15.9681,102.6253,503.0,292.0,520,292,279,11,2,228
KK10_CONST_โนนศิลา_โนนแดง_M5_U5,โนนศิลา,โนนแดง,5,5,15.9681,102.6253,387.0,277.0,400,277,267,6,4,123
KK10_CONST_โนนศิลา_โนนแดง_M6_U6,โนนศิลา,โนนแดง,6,6,15.9681,102.6253,363.0,266.0,380,266,240,11,15,114
KK10_CONST_โนนศิลา_โนนแดง_M7_U7,โนนศิลา,โนนแดง,7,7,15.9681,102.6253,457.0,298.0,460,298,285,11,2,162
KK10_CONST_โคกโพธิ์ไชย_ซับสมบูรณ์_M10_U10,โคกโพธิ์ไชย,ซับสมบูรณ์,10,10,15.9442,102.3081,258.0,173.0,260,173,159,10,4,87
KK10_CONST_โคกโพธิ์ไชย_ซับสมบูรณ์_M11_U11,โคกโพธิ์ไชย,ซับสมบูรณ์,11,11,15.9442,102.3081,509.0,278.0,520,278,259,17,2,242
KK10_CONST_โคกโพธิ์ไชย_ซับสมบูรณ์_M1_U1,โคกโพธิ์ไชย,ซับสมบูรณ์,1,1,15.9442,102.3081,529.0,348.0,540,348,329,16,3,192
KK10_CONST_โคกโพธิ์ไชย_ซับสมบูรณ์_M2_U2,โคกโพธิ์ไชย,ซับสมบูรณ์,2,2,15.9442,102.3081,604.0,367.0,620,367,343,21,3,253
KK10_CONST_โคกโพธิ์ไชย_ซับสมบูรณ์_M3_U3,โคกโพธิ์ไชย,ซับสมบูรณ์,3,3,15.9442,102.3081,726.0,398.0,740,398,369,24,5,342
KK10_CONST_โคกโพธิ์ไชย_ซับสมบูรณ์_M4_U4,โคกโพธิ์ไชย,ซับสมบูรณ์,4,4,15.9442,102.3081,516.0,307.0,520,307,286,15,6,213
KK10_CONST_โคกโพธิ์ไชย_ซับสมบูรณ์_M5_U5,โคกโพธิ์ไชย,ซับสมบูรณ์,5,5,15.9442,102.3081,748.0,442.0,760,442,422,20,0,318
KK10_CONST_โคกโพธิ์ไชย_ซับสมบูรณ์_M6_U6,โคกโพธิ์ไชย,ซับสมบูรณ์,6,6,15.9442,102.3081,277.0,159.0,280,159,146,10,3,121
KK10_CONST_โคกโพธิ์ไชย_ซับสมบูรณ์_M7_U7,โคกโพธิ์ไชย,ซับสมบูรณ์,7,7,15.9442,102.3081,416.0,231.0,420,231,211,15,5,189
KK10_CONST_โคกโพธิ์ไชย_ซับสมบูรณ์_M8_U8,โคกโพธิ์ไชย,ซับสมบูรณ์,8,8,15.9442,102.3081,240.0,172.0,260,172,167,5,0,88
KK10_CONST_โคกโพธิ์ไชย_ซับสมบูรณ์_M9_U9,โคกโพธิ์ไชย,ซับสมบูรณ์,9,9,15.9442,102.3081,489.0,293.0,500,293,270,18,5,207
KK10_CONST_โคกโพธิ์ไชย_นาแพง_M1_U1,โคกโพธิ์ไชย,นาแพง,1,1,15.9167,102.3583,462.0,271.0,480,271,240,27,4,209
KK10_CONST_โคกโพธิ์ไชย_นาแพง_M2_U2,โคกโพธิ์ไชย,นาแพง,2,2,15.9167,102.3583,715.0,423.0,720,423,382,30,11,297
KK10_CONST_โคกโพธิ์ไชย_นาแพง_M3_U3,โคกโพธิ์ไชย,นาแพง,3,3,15.9167,102.3583,343.0,205.0,360,205,189,12,4,155
KK10_CONST_โคกโพธิ์ไชย_นาแพง_M4_U4,โคกโพธิ์ไชย,นาแพง,4,4,15.9167,102.3583,429.0,293.0,440,293,273,14,6,147
KK10_CONST_โคกโพธิ์ไชย_นาแพง_M5_U5,โคกโพธิ์ไชย,นาแพง,5,5,15.9167,102.3583,499.0,346.0,500,346,310,28,8,154
KK10_CONST_โคกโพธิ์ไชย_นาแพง_M6_U6,โคกโพธิ์ไชย,นาแพง,6,6,15.9167,102.3583,416.0,299.0,400,299,274,22,3,101
KK10_CONST_โคกโพธิ์ไชย_นาแพง_M7_U7,โคกโพธิ์ไชย,นาแพง,7,7,15.9167,102.3583,374.0,253.0,360,253,234,15,4,107
KK10_CONST_โคกโพธิ์ไชย_นาแพง_M9_U8,โคกโพธิ์ไชย,นาแพง,9,8,15.9167,102.3583,594.0,316.0,590,316,293,16,7,274
KK10_CONST_โคกโพธิ์ไชย_บ้านโคก_M1_U1,โคกโพธิ์ไชย,บ้านโคก,1,1,15.9667,102.4333,542.0,353.0,540,353,315,30,8,187
KK10_CONST_โคกโพธิ์ไชย_บ้านโคก_M4_U1,โคกโพธิ์ไชย,บ้านโคก,4,1,15.9667,102.4333,673.0,426.0,680,426,397,26,3,254
KK10_CONST_โคกโพธิ์ไชย_บ้านโคก_M2_U2,โคกโพธิ์ไชย,บ้านโคก,2,2,15.9667,102.4333,782.0,506.0,760,506,469,27,10,254
KK10_CONST_โคกโพธิ์ไชย_บ้านโคก_M5_U2,โคกโพธิ์ไชย,บ้านโคก,5,2,15.9667,102.4333,367.0,221.0,360,221,196,22,3,139
KK10_CONST_โคกโพธิ์ไชย_บ้านโคก_M2_U3,โคกโพธิ์ไชย,บ้านโคก,2,3,15.9667,102.4333,264.0,169.0,260,169,156,12,1,91
KK10_CONST_โคกโพธิ์ไชย_บ้านโคก_M3_U3,โคกโพธิ์ไชย,บ้านโคก,3,3,15.9667,102.4333,420.0,279.0,420,279,264,10,5,141
KK10_CONST_โคกโพธิ์ไชย_บ้านโคก_M7_U4,โคกโพธิ์ไชย,บ้านโคก,7,4,15.9667,102.4333,660.0,451.0,660,451,417,17,17,209
KK10_CONST_โคกโพธิ์ไชย_บ้านโคก_M9_U4,โคกโพธิ์ไชย,บ้านโคก,9,4,15.9667,102.4333,700.0,423.0,660,423,379,26,18,237
KK10_CONST_โคกโพธิ์ไชย_บ้านโคก_M10_U5,โคกโพธิ์ไชย,บ้านโคก,10,5,15.9667,102.4333,341.0,204.0,360,204,195,9,0,156
