Unit_ID,Candidate_Number,Candidate_Name,Score
KK10_CONST_โนนศิลา_บ้านหัน_M7_U5,1,นายวันนิวัติ สมบูรณ์,72
KK10_CONST_โนนศิลา_บ้านหัน_M7_U5,2,ร.ต.ท.สงวน คมขาว,1
KK10_CONST_โนนศิลา_บ้านหัน_M7_U5,3,นายนิวัตร สระพรม,11
KK10_CONST_โนนศิลา_บ้านหัน_M7_U5,4,นายวิระศักดิ์ สายทอง,2
KK10_CONST_โนนศิลา_บ้านหัน_M7_U5,5,นายพชรกร อรรณนพพร,120
KK10_CONST_โนนศิลา_บ้านหัน_M7_U5,6,นายประยูร เทียมทะนง,3
KK10_CONST_โนนศิลา_บ้านหัน_M8_U6,1,นายวันนิวัติ สมบูรณ์,156
KK10_CONST_โนนศิลา_บ้านหัน_M8_U6,2,ร.ต.ท.สงวน คมขาว,4
KK10_CONST_โนนศิลา_บ้านหัน_M8_U6,3,นายนิวัตร สระพรม,19
KK10_CONST_โนนศิลา_บ้านหัน_M8_U6,4,นายวิระศักดิ์ สายทอง,0
KK10_CONST_โนนศิลา_บ้านหัน_M8_U6,5,นายพชรกร อรรณนพพร,124
KK10_CONST_โนนศิลา_บ้านหัน_M8_U6,6,นายประยูร เทียมทะนง,0
KK10_CONST_โนนศิลา_บ้านหัน_M9_U7,1,นายวันนิวัติ สมบูรณ์,91
KK10_CONST_โนนศิลา_บ้านหัน_M9_U7,2,ร.ต.ท.สงวน คมขาว,1
KK10_CONST_โนนศิลา_บ้านหัน_M9_U7,3,นายนิวัตร สระพรม,27
KK10_CONST_โนนศิลา_บ้านหัน_M9_U7,4,นายวิระศักดิ์ สายทอง,3
KK10_CONST_โนนศิลา_บ้านหัน_M9_U7,5,นายพชรกร อรรณนพพร,177
KK10_CONST_โนนศิลา_บ้านหัน_M9_U7,6,นายประยูร เทียมทะนง,1
KK10_CONST_โนนศิลา_บ้านหัน_M10_U8,1,นายวันนิวัติ สมบูรณ์,74
KK10_CONST_โนนศิลา_บ้านหัน_M10_U8,2,ร.ต.ท.สงวน คมขาว,0
KK10_CONST_โนนศิลา_บ้านหัน_M10_U8,3,นายนิวัตร สระพรม,12
KK10_CONST_โนนศิลา_บ้านหัน_M10_U8,4,นายวิระศักดิ์ สายทอง,0
KK10_CONST_โนนศิลา_บ้านหัน_M10_U8,5,นายพชรกร อรรณนพพร,179
KK10_CONST_โนนศิลา_บ้านหัน_M10_U8,6,นายประยูร เทียมทะนง,1
KK10_CONST_โนนศิลา_บ้านหัน_M11_U9,1,นายวันนิวัติ สมบูรณ์,195
KK10_CONST_โนนศิลา_บ้านหัน_M11_U9,2,ร.ต.ท.สงวน คมขาว,4
KK10_CONST_โนนศิลา_บ้านหัน_M11_U9,3,นายนิวัตร สระพรม,44
KK10_CONST_โนนศิลา_บ้านหัน_M11_U9,4,นายวิระศักดิ์ สายทอง,1
KK10_CONST_โนนศิลา_บ้านหัน_M11_U9,5,นายพชรกร อรรณนพพร,177
KK10_CONST_โนนศิลา_บ้านหัน_M11_U9,6,นายประยูร เทียมทะนง,1
KK10_CONST_โนนศิลา_หนองปลาหมอ_M1_U1,1,นายวันนิวัติ สมบูรณ์,95
KK10_CONST_โนนศิลา_หนองปลาหมอ_M1_U1,2,ร.ต.ท.สงวน คมขาว,0
KK10_CONST_โนนศิลา_หนองปลาหมอ_M1_U1,3,นายนิวัตร สระพรม,15
